name,algorithm,timestamp,reconstruction_error,mean_sparsity,train_time,K,T_0,max_iter,tol,folder_path,hsi,limit,correlation_threshold,keywords,D_init,hsi_sample,epochs
JasperRidge,k_svd_from_spectral_library,20260420_115028,0.24151062030239995,3.0,43.40299430000596,191,3,50,,C:\Users\omrim\Documents\FinalProject\raw\ecospeclib-all,<src.hsi.HSI object at 0x000001B43DA28F10>,,,,,,
JasperRidge,k_svd_from_spectral_library,20260420_115326,0.2421732292821529,3.0,18.03475629998138,191,3,50,,C:\Users\omrim\Documents\FinalProject\raw\ecospeclib-all,<src.hsi.HSI object at 0x000001D10FC27910>,,,,,,
JasperRidge,k_svd_from_spectral_library,20260420_115415,0.2422419395833184,3.0,21.91194830002496,191,3,50,,C:\Users\omrim\Documents\FinalProject\raw\ecospeclib-all,<src.hsi.HSI object at 0x000002A7308AC1D0>,,,,,,
Cuprite,k_svd,20260420_205257,0.029807724207957374,10.0114,461.0023530999897,256,10,30,,,,,,,,,
JasperRidge,k_svd,20260420_210300,0.007628462728093248,10.012,452.7861558999866,256,10,30,,,,,,,,,
Mixed,k_svd,20260422_095043,0.01999158261329047,10.302839116719243,18.634223800036125,256,10,30,,,,,,,,,
Mixed,k_svd,20260422_101835,0.028569106122707823,10.106796116504855,113.06959329999518,256,10,30,,,,,,,,,
Mixed,k_svd,20260423_172634,0.03749398894157084,10.207207207207206,11.88141299993731,256,10,30,,,,,,,,,
Mixed,k_svd,20260423_180532,0.05665191162452298,10.133416458852867,42.389905099989846,300,10,30,,,,,,,,,
Mixed,k_svd,20260423_181441,0.08550900847722634,9.569135802469136,67.17490480002016,512,10,30,,,,,,,,,
Mixed,k_svd,20260424_153612,6.733646727689185,3.045673076923077,83.15014219994191,512,3,30,,,,,,,,,
Mixed,k_svd,20260424_162544,4.1049059227393006,3.4161490683229814,8.215170999988914,256,3,30,,,,,,,,,
Mixed,k_svd,20260424_164015,7.025169427456059,3.4748427672955975,7.110464100027457,205,3,30,,,,,,,,,
Mixed,k_svd,20260424_170500,0.03199020904979728,3.0723039215686274,62.03311469999608,410,3,50,,,,,,,,,
Mixed,k_svd,20260425_110553,2.686495721389817,2.9051724137931036,97.2511547000613,410,3,50,,,,,,,,,
Mixed,k_svd,20260425_134131,0.019688386807424872,3.0425055928411635,30.900003899936564,410,3,50,,,,,,,,,
JasperRidge,k_svd,20260428_074827,0.030119721271573623,3.248987854251012,41.264287300175056,256,3,50,,,,,,,,,
JasperRidge ,k_svd,20260428_082550,0.20482604973706103,3.431297709923664,13.757611599983647,256,3,50,,,,,,,,,
JasperRidge ,k_svd,20260428_112254,7.0194829520378565,3.232421875,21.696383600123227,256,3,50,,,,,,,,,
Mixed ,k_svd,20260428_114648,0.047460299063515225,3.117585848074922,55.52723790006712,256,3,50,,,,,,,,,
Mixed ,k_svd,20260428_121807,0.07498699582379362,3.1285377358490565,44.115049300016835,256,3,50,,,,,,,,,
Mixed ,k_svd,20260428_122046,0.10763239773380957,3.2786458333333335,10.012308300007135,256,3,50,,,,,,,,,
Mixed ,k_svd,20260428_122238,0.033178967191974794,3.242603550295858,21.40746290003881,256,3,50,,,,,,,,,
Mixed ,k_svd,20260428_123423,0.12501934759733965,3.267190569744597,22.923977799946442,256,3,50,,,,,,,,,
Mixed ,k_svd,20260428_144922,0.030499842577920332,3.2467191601049867,10.69496940006502,256,3,50,,,,,,,,,
JasperRidge,k_svd,20260428_145209,0.036847140091707024,3.2534381139489192,15.799927100073546,256,3,50,,,,,,,,,
MoffetField,k_svd,20260428_145325,0.03478550408213468,3.2533333333333334,10.888433699961752,256,3,50,,,,,,,,,
Mixed,k_svd,20260428_145732,2.722675631237569,3.1241217798594847,41.1974218999967,256,3,50,,,,,,,,,
