method,sr,a,cr_mean,cr_std,rmse_mean,rmse_std,sam_mean,sam_std,comp_time_mean,comp_time_std,decomp_time_mean,decomp_time_std
ccsds123,,0.0,2.5999637739817043,0.0,0.0,0.0,2.405239397310607e-07,0.0,184.20500425000137,1.06331395378552,153.2421214499991,1.4289566373403784
ccsds123,,5.0,5.646694476691427,0.0,3.151043305275995,0.0,0.1748692874417645,0.0,179.2485466749995,1.4945038831916122,147.11532872499993,1.7855904894628776
ccsds123,,10.0,7.168867445029649,0.0,5.978362038860857,0.0,0.3315788522169231,0.0,176.54395794999982,1.2239969368946315,144.53839267500007,1.1302103616840355
ccsds123,,20.0,8.877508017226502,0.0,11.483666649921233,0.0,0.6359347277113614,0.0,173.8317806,1.588665285344328,142.9508181000001,1.9675139195023499
ccsds123,,50.0,10.875240365919398,0.0,27.28560554145128,0.0,1.502374079393994,0.0,172.34375064999995,2.137637079067324,142.3513937999992,2.8060000252654174
ccsds123,,100.0,11.964422789910644,0.0,51.54690900240951,0.0,2.8025059809363912,0.0,172.64524135000056,3.9619734308302053,141.94640462500138,5.360278761354252
ccsds123,,200.0,12.640812744806173,0.0,95.10097358770156,0.0,5.038567530539685,0.0,172.2805621750008,4.209602975361894,140.77746517499872,3.1949838121310705
ccsds123,,300.0,12.903182011030973,0.0,134.27044079306617,0.0,6.952847036903519,0.0,172.34397935000015,5.080682091908631,141.91679039999872,5.364526593251109
ccsds123,,400.0,13.038238692266306,0.0,170.87327204324842,0.0,8.685727728214413,0.0,172.43653525000082,5.173904029036092,141.5075706749999,3.7322986736125725
hcs1d,0.04,,28.28571428571428,0.0,111.32569035445648,22.701524173063323,3.7554521405861037,0.4710419753789655,0.4830720181813707,0.008497880845025159,4.206186918181133,0.5441534627606255
hcs1d,0.0434782608695652,,24.75,0.0,111.0292077281904,10.55469109744276,3.605533577216141,0.3132843740196545,0.5483431727266592,0.013038120582989128,4.419382400000111,0.45089736614325804
hcs1d,0.0454545454545454,,22.0,0.0,91.05854389027951,12.832886540610222,3.040911349374768,0.33490320856862305,0.6038458999998759,0.015183053100289267,5.247416536364571,0.36755067814258974
hcs1d,0.0555555555555555,,18.0,0.0,83.12525036243417,12.82442824947486,2.7148302791501107,0.30389873426712116,0.7287630909099376,0.017520650192271416,5.889919563635472,0.6419355520526456
hcs1d,0.0666666666666666,,15.230769230769228,0.0,71.50199259976887,7.397585296529481,2.569340063728462,0.15187821270889557,0.8350851363629772,0.011908432702667194,6.344703181817749,0.3959351936549036
hcs1d,0.0769230769230769,,13.2,0.0,68.49018690260624,7.813964404249219,2.281718522092735,0.24112232821519547,0.9572993999997628,0.017995862979012497,7.208867254546434,0.5427513858596124
hcs1d,0.0833333333333333,,12.375,0.0,59.8051846208835,5.456659700374085,2.0846785583967677,0.15972795031227188,1.0180960909097352,0.02531858174607853,7.774973672727025,0.4565103573546779
hcs1d,0.1,,10.421052631578949,0.0,59.99440751243788,6.307248960782618,1.9952028230133019,0.20090592644378338,1.1935732090914826,0.02385605926821152,8.62011843636405,0.7025290900589592
hcs1d,0.125,,8.25,0.0,51.76773126772234,4.073045389162711,1.7427829105605086,0.12185775145239965,1.5034376636370077,0.03165592239169178,9.787067927272801,0.4340357467809422
hcs1d,0.2,,5.076923076923077,0.0,45.23849397538257,2.1214974571583682,1.453852745406032,0.06044954166157103,2.3789374545446083,0.06509825706661615,12.438812354545007,0.5354223459759404
hcs1d,0.3333333333333333,,3.0,0.0,42.2431121935793,1.0156597797516416,1.2988329625843946,0.0402625294700171,3.964378300000383,0.09609400130351259,15.853659690908072,0.5338891423663173
hcs1d,0.5,,2.0,0.0,40.575921405139304,0.8129335553253018,1.2438248109406296,0.02483819742037996,5.898114963635552,0.12512944594774142,19.139647145454298,0.740940501261395
hybrid,0.04,,47.219565986470975,1.4373782436089497,110.36427476091798,25.51484564741095,3.5966792715133806,0.3371585656190577,1.8745857545464704,0.04005612384721379,5.1079469090908045,0.4938606702306641
hybrid,0.0434782608695652,,41.44406397063075,1.2178428404473793,101.94062303742653,13.758014266277907,3.384970682221112,0.4586774054995048,2.120211990910651,0.0350951358292143,5.8580963999996705,0.42959285604018765
hybrid,0.0454545454545454,,37.29320250049908,0.9931780583426536,92.0100625040113,11.316288036970322,3.129132653943087,0.18142337354118038,2.3898849000002387,0.05962161775085304,6.2523497454549215,0.604602928098396
hybrid,0.0555555555555555,,29.93016305349803,0.676827805527737,79.77583512983864,16.03739827361518,2.6400915855562395,0.2043234811669323,2.8910748909092945,0.03830704737514074,7.82568600909078,0.39870420425478215
hybrid,0.0666666666666666,,25.69053640470955,0.4804175002731207,67.25463437996414,6.76806138115866,2.3398113910331113,0.25348337345879646,3.4066977545452657,0.0678906273305468,8.936819963636397,0.6776310854731914
hybrid,0.0769230769230769,,22.076943295701962,0.287214635894521,64.4391343779163,6.241060475967036,2.221452090055141,0.17337677505686638,3.9216307818177567,0.09260306470430232,9.598826736363911,0.6732537989115005
hybrid,0.0833333333333333,,20.90821685221313,0.47959035832171093,62.12246497205224,6.860974303994552,2.1229431401935837,0.14238723885631752,4.210469881818426,0.12201850037857324,10.233132754545956,0.545905457167571
hybrid,0.1,,17.765951660669216,0.3120886430415246,56.48748536740441,4.441426203437951,1.9567664824311557,0.1622864190524217,4.982506281819124,0.11808276617209192,11.548340918182227,0.6098597502405547
hybrid,0.125,,14.01151171902387,0.39762966480468176,52.36450245883377,4.638615377493319,1.6991117611380373,0.10475989512010982,6.264563536363891,0.12917252507936913,13.565079718181137,0.7622436165954377
hybrid,0.2,,8.880239603965608,0.15281748987869184,45.5643953780869,2.79387089129765,1.4749868728301907,0.0819208740301377,10.18906300909095,0.25492340931838586,18.40480370000114,0.7976170204527557
hybrid,0.3333333333333333,,5.2345065458004525,0.12336681694558184,41.9116485510877,1.2421547331855307,1.295579748965354,0.029108093114917574,17.317738963635335,0.3108220505635276,26.375451954545497,0.9027578084892565
hybrid,0.5,,3.5240738636827347,0.07346407033179488,40.740944672811985,0.42080797179947627,1.2503698714978049,0.016995552589060527,26.053234372728017,0.5060477447321473,34.77592163636407,0.5750796574903764
